"id"	"num"	"neg.score"	"neg.p.value"	"neg.fdr"	"neg.rank"	"neg.goodsgrna"	"neg.lfc"	"pos.score"	"pos.p.value"	"pos.fdr"	"pos.rank"	"pos.goodsgrna"	"pos.lfc"
"1"	"STAU2"	4	7.2376e-11	2.7419e-07	0.00033	1	4	-1.3382	1	1	1	18055	0	-1.3382
"2"	"IKBIP"	4	1.7229e-10	2.7419e-07	0.00033	2	4	-0.8595	1	1	1	18054	0	-0.8595
"3"	"ADSL"	4	9.9372e-10	2.7419e-07	0.00033	3	4	-1.0794	1	1	1	18053	0	-1.0794
"4"	"CABP7"	4	4.6572e-09	2.7419e-07	0.00033	4	4	-1.4657	0.99929	0.9993	1	17979	0	-1.4657
"5"	"MDM1"	4	6.5741e-09	2.7419e-07	0.00033	5	4	-0.93218	1	1	1	18052	0	-0.93218
"6"	"RAD50"	4	1.69e-08	2.7419e-07	0.00033	6	4	-1.0867	1	1	1	18045	0	-1.0867
"7"	"ARHGDIA"	4	1.8663e-08	2.7419e-07	0.00033	7	4	-1.2392	1	1	1	18051	0	-1.2392
"8"	"OVCH1"	3	2.0735e-08	2.7419e-07	0.00033	8	3	-1.2206	1	1	1	18050	0	-1.2206
"9"	"MCAM"	4	2.3279e-08	2.7419e-07	0.00033	9	4	-1.705	1	1	1	18049	0	-1.705
"10"	"RIC8B"	4	2.4142e-08	2.7419e-07	0.00033	10	4	-0.96193	1	1	1	18048	0	-0.96193
"11"	"PIP4K2C"	4	2.5596e-08	2.7419e-07	0.00033	11	4	-1.3839	1	1	1	18047	0	-1.3839
"12"	"MRPS18C"	4	4.5763e-08	2.7419e-07	0.00033	12	4	-0.63739	1	1	1	18046	0	-0.63739
"13"	"CLEC9A"	4	7.2975e-08	2.7419e-07	0.00033	13	4	-1.0157	1	1	1	18041	0	-1.0157
"14"	"PSMC4"	4	9.1847e-08	2.7419e-07	0.00033	14	4	-0.62286	1	1	1	18044	0	-0.62286
"15"	"ZNF616"	4	1.2852e-07	2.7419e-07	0.00033	15	4	-0.82218	1	1	1	18043	0	-0.82218
"16"	"THAP6"	4	3.8584e-07	1.3709e-06	0.001547	16	4	-0.78751	1	1	1	18042	0	-0.78751
"17"	"KDM1B"	4	1.0937e-06	3.5645e-06	0.003786	17	4	-0.51582	1	1	1	18040	0	-0.51582
"18"	"FAM169B"	4	1.2005e-06	4.1128e-06	0.004125	18	4	-0.65042	1	1	1	18039	0	-0.65042
"19"	"MYO6"	4	2.1022e-06	5.2096e-06	0.00495	19	4	-0.73119	0.99998	0.99998	1	18030	0	-0.73119
"20"	"ACTB"	4	3.9452e-06	1.2339e-05	0.01108	20	4	-0.67106	0.99998	0.99998	1	18032	0	-0.67106
"21"	"AKAP14"	4	4.2361e-06	1.2887e-05	0.01108	21	3	-0.568	0.97093	0.97086	1	17266	0	-0.568
"22"	"DPP3"	4	6.5125e-06	2.0016e-05	0.016427	22	4	-0.51944	0.99999	0.99999	1	18038	0	-0.51944
"23"	"NOP9"	4	8.5781e-06	2.8242e-05	0.02217	23	4	-1.3037	0.99999	0.99999	1	18037	0	-1.3037
"24"	"RGR"	4	1.0224e-05	3.537e-05	0.026609	24	4	-0.63558	0.99991	0.99991	1	18021	0	-0.63558
"25"	"ACTR3"	4	1.1541e-05	3.9758e-05	0.028713	25	4	-0.91898	0.99999	0.99999	1	18036	0	-0.91898
"26"	"CCSAP"	4	1.2068e-05	4.3596e-05	0.029153	26	3	-0.66855	0.8236	0.82305	1	14167	0	-0.66855
"27"	"RPL7A"	4	1.2169e-05	4.3596e-05	0.029153	27	4	-0.57849	0.99999	0.99999	1	18035	0	-0.57849
"28"	"GABPB2"	4	1.2737e-05	4.6886e-05	0.030233	28	4	-0.45969	0.99999	0.99999	1	18034	0	-0.45969
"29"	"CDK5"	4	1.5559e-05	5.4564e-05	0.033971	29	4	-0.54457	0.99998	0.99998	1	18033	0	-0.54457
"30"	"ZNF671"	4	1.9718e-05	7.3209e-05	0.043916	30	4	-0.40793	0.99994	0.99995	1	18026	0	-0.40793
"31"	"PEX11B"	4	2.0186e-05	7.5402e-05	0.043916	31	4	-0.57992	0.99998	0.99998	1	18031	0	-0.57992
"32"	"KCNK12"	4	2.2246e-05	8.1983e-05	0.046256	32	2	-0.5378	0.91263	0.91244	1	15983	0	-0.5378
"33"	"SH2D4B"	4	2.7621e-05	0.00010118	0.054586	33	4	-0.75804	0.99997	0.99997	1	18029	0	-0.75804
"34"	"SH3PXD2B"	4	2.8249e-05	0.00010392	0.054586	34	1	0.0034679	0.73118	0.73065	1	12380	0	0.0034679
"35"	"USHBP1"	4	2.8935e-05	0.00010721	0.054586	35	4	-0.37644	0.99997	0.99997	1	18028	0	-0.37644
"36"	"CAB39L"	4	3.1027e-05	0.0001116	0.054586	36	3	-0.55655	0.98561	0.98567	1	17631	0	-0.55655
"37"	"DENND5B"	4	3.1513e-05	0.00011379	0.054586	37	2	-0.30009	0.7366	0.73603	1	12496	0	-0.30009
"38"	"SMAD1"	3	3.5406e-05	0.00011489	0.054586	38	3	-0.39692	0.99994	0.99994	1	18025	0	-0.39692
"39"	"ARMC4"	4	3.8012e-05	0.00014066	0.065118	39	3	-0.4762	0.96517	0.96508	1	17135	0	-0.4762
"40"	"FHL5"	4	3.8909e-05	0.00014505	0.06547	40	4	-0.77126	0.99991	0.99992	1	18023	0	-0.77126
"41"	"RNF17"	4	4.1405e-05	0.00015409	0.067858	41	4	-1.1113	0.99983	0.99985	1	18010	0	-1.1113
"42"	"AP4M1"	4	4.676e-05	0.00017192	0.073904	42	4	-0.57485	0.99995	0.99996	1	18027	0	-0.57485
"43"	"LY75"	4	5.7937e-05	0.00021359	0.089685	43	3	-0.76982	0.99668	0.99672	1	17869	0	-0.76982
"44"	"RNASE12"	4	6.1385e-05	0.00022621	0.091199	44	4	-0.79082	0.9988	0.99879	1	17954	0	-0.79082
"45"	"HHEX"	4	6.1689e-05	0.0002273	0.091199	45	3	-0.51962	0.9317	0.93139	1	16373	0	-0.51962
"46"	"CTH"	4	7.1732e-05	0.00026569	0.104283	46	3	-0.7561	0.98398	0.98404	1	17587	0	-0.7561
"47"	"OR2T4"	4	8.0216e-05	0.00030079	0.113861	47	2	-0.57616	0.90953	0.90926	1	15925	0	-0.57616
"48"	"NKX2-3"	4	8.1242e-05	0.00030462	0.113861	48	4	-0.44266	0.99992	0.99992	1	18024	0	-0.44266
"49"	"GFRAL"	4	8.2795e-05	0.00030901	0.113861	49	3	-0.49396	0.99697	0.99701	1	17877	0	-0.49396
"50"	"KLF16"	4	9.072e-05	0.00033533	0.121089	50	4	-0.35989	0.99991	0.99992	1	18022	0	-0.35989
"51"	"FOXS1"	4	9.869e-05	0.00036659	0.129781	51	4	-0.46289	0.9999	0.99991	1	18020	0	-0.46289
"52"	"OFD1"	4	0.00010156	0.00037646	0.130712	52	4	-0.71751	0.99866	0.99868	1	17945	0	-0.71751
"53"	"TONSL"	4	0.00010581	0.00039346	0.134037	53	4	-0.45227	0.99989	0.9999	1	18019	0	-0.45227
"54"	"RPLP1"	4	0.00011232	0.00041595	0.137624	54	4	-0.56578	0.99989	0.99989	1	18018	0	-0.56578
"55"	"INSM1"	4	0.00011282	0.00041924	0.137624	55	4	-0.32802	0.99989	0.99989	1	18017	0	-0.32802
"56"	"CPSF2"	4	0.0001192	0.00045104	0.145421	56	3	-0.45902	0.67841	0.67764	1	11383	0	-0.45902
"57"	"ZNF2"	4	0.00012121	0.00046036	0.145822	57	4	-0.76416	0.99988	0.99988	1	18016	0	-0.76416
"58"	"C6orf195"	4	0.00012807	0.00048614	0.151332	58	4	-0.46138	0.99987	0.99988	1	18015	0	-0.46138
"59"	"PDK1"	4	0.00013019	0.00049711	0.152123	59	4	-0.37992	0.99987	0.99988	1	18014	0	-0.37992
"60"	"CTSE"	4	0.00013318	0.00051164	0.15396	60	4	-0.48689	0.99987	0.99987	1	18013	0	-0.48689
"61"	"FAM198B"	4	0.00014017	0.0005333	0.157848	61	4	-0.38261	0.99986	0.99987	1	18012	0	-0.38261
"62"	"MBD2"	4	0.00014526	0.00055304	0.161051	62	2	-0.39606	0.71331	0.71254	1	12031	0	-0.39606
"63"	"TMEM237"	4	0.00014943	0.0005684	0.162895	63	2	-0.45599	0.99225	0.99238	1	17761	0	-0.45599
"64"	"CDH2"	4	0.00016195	0.00061336	0.171439	64	3	-0.66932	0.99072	0.99082	1	17734	0	-0.66932
"65"	"TRIB1"	4	0.00016259	0.0006172	0.171439	65	4	-0.86048	0.99984	0.99985	1	18011	0	-0.86048
"66"	"ZNF79"	4	0.0001702	0.00064517	0.17578	66	4	-0.42383	0.99983	0.99984	1	18009	0	-0.42383
"67"	"HDAC11"	4	0.00017217	0.0006523	0.17578	67	4	-0.5344	0.99919	0.99919	1	17969	0	-0.5344
"68"	"RDM1"	4	0.00019812	0.00074497	0.197801	68	4	-0.40398	0.9998	0.99981	1	18008	0	-0.40398
"69"	"TP53"	4	0.00020504	0.00076801	0.19809	69	3	-0.50823	0.095241	0.16695	1	2641	1	-0.50823
"70"	"PXDNL"	4	0.00020744	0.00077294	0.19809	70	3	-0.50815	0.98934	0.98947	1	17710	0	-0.50815
"71"	"CXCR1"	4	0.000209	0.00077897	0.19809	71	3	-0.52259	0.59555	0.5959	1	9859	1	-0.52259
"72"	"ATHL1"	4	0.00022005	0.00081626	0.198437	72	3	-0.50958	0.99728	0.99731	1	17892	0	-0.50958
"73"	"FDPS"	4	0.00022114	0.00081955	0.198437	73	3	-0.94307	0.67114	0.67049	1	11242	0	-0.94307
"74"	"ODF2"	4	0.00023199	0.00086397	0.198437	74	4	-0.48908	0.99977	0.99977	1	18007	0	-0.48908
"75"	"SEPHS1"	4	0.00023349	0.00086836	0.198437	75	2	-0.45588	0.82014	0.81964	1	14105	0	-0.45588
"76"	"NKX1-1"	4	0.00023454	0.00087165	0.198437	76	3	-0.69627	0.98226	0.98233	1	17544	0	-0.69627
"77"	"PGC"	4	0.00023643	0.00087713	0.198437	77	3	-0.42093	0.87006	0.86961	1	15101	0	-0.42093
"78"	"CDK5RAP2"	4	0.00023713	0.00087878	0.198437	78	4	-0.41609	0.99976	0.99977	1	18006	0	-0.41609
"79"	"NLRP6"	4	0.00024278	0.00089468	0.198437	79	3	-0.46061	0.95242	0.95228	1	16866	0	-0.46061
"80"	"PRRX2"	4	0.00024355	0.00089633	0.198437	80	3	-0.4716	0.97589	0.9759	1	17376	0	-0.4716
"81"	"CYP2C18"	4	0.00024744	0.00091113	0.198437	81	4	-0.39204	0.99975	0.99976	1	18005	0	-0.39204
"82"	"FHOD3"	4	0.00024795	0.00091168	0.198437	82	3	-0.74346	0.17065	0.26713	1	4065	1	-0.74346
"83"	"ELAC1"	4	0.00024839	0.00091223	0.198437	83	3	-0.88295	0.24312	0.33898	1	5208	1	-0.88295
"84"	"KIF6"	4	0.00025743	0.00094294	0.19876	84	4	-0.48562	0.99965	0.99967	1	17996	0	-0.48562
"85"	"ZNF562"	4	0.00025822	0.00094678	0.19876	85	2	-0.32461	0.94213	0.942	1	16615	0	-0.32461
"86"	"ITPKB"	4	0.00026074	0.00095774	0.19876	86	4	-0.32293	0.99974	0.99975	1	18004	0	-0.32293
"87"	"CNIH2"	4	0.00026551	0.00097639	0.200326	87	3	-0.45719	0.93833	0.93821	1	16522	0	-0.45719
"88"	"SMCHD1"	4	0.00027518	0.0010098	0.204861	88	4	-0.37459	0.99972	0.99973	1	18003	0	-0.37459
"89"	"MSTN"	4	0.00028335	0.0010416	0.208966	89	4	-0.3533	0.99972	0.99973	1	18002	0	-0.3533
"90"	"SGCA"	4	0.00031071	0.0011288	0.218883	90	2	-0.14195	0.97315	0.97311	1	17313	0	-0.14195
"91"	"ALG14"	3	0.00031777	0.00095226	0.19876	91	2	-1.0734	0.077185	0.13287	1	2319	1	-1.0734
"92"	"BCL6"	4	0.00031814	0.0011554	0.218883	92	3	-0.52691	0.99712	0.99714	1	17886	0	-0.52691
"93"	"HES6"	4	0.00031992	0.0011634	0.218883	93	4	-0.30128	0.99968	0.9997	1	18001	0	-0.30128
"94"	"ELL"	4	0.00032019	0.0011639	0.218883	94	4	-0.39843	0.99968	0.9997	1	18000	0	-0.39843
"95"	"SCN11A"	4	0.00032276	0.0011694	0.218883	95	4	-0.62553	0.99962	0.99963	1	17995	0	-0.62553
"96"	"OTUD6B"	4	0.00032427	0.0011733	0.218883	96	4	-0.30428	0.99968	0.99969	1	17999	0	-0.30428
"97"	"CHKA"	4	0.00032483	0.0011771	0.218883	97	3	-0.47926	0.98888	0.98901	1	17697	0	-0.47926
"98"	"YAE1D1"	4	0.00032854	0.0011881	0.218883	98	2	-0.39749	0.14447	0.23263	1	3549	1	-0.39749
"99"	"PSMB10"	4	0.00033969	0.0012281	0.220224	99	4	-0.45727	0.99966	0.99968	1	17998	0	-0.45727
"100"	"CEP170"	4	0.00033997	0.0012292	0.220224	100	4	-1.1071	0.99966	0.99968	1	17997	0	-1.1071
"101"	"FADS1"	4	0.00034136	0.0012319	0.220224	101	4	-0.5313	0.99942	0.99944	1	17986	0	-0.5313
"102"	"NEK8"	4	0.00036634	0.0013345	0.236216	102	3	-0.4863	0.99671	0.99676	1	17870	0	-0.4863
"103"	"PNMA3"	4	0.00038031	0.0013811	0.242094	103	3	-0.48373	0.95886	0.95876	1	17005	0	-0.48373
"104"	"NCOA7"	4	0.00039763	0.0014365	0.246451	104	4	-0.49174	0.9996	0.99962	1	17994	0	-0.49174
"105"	"INADL"	4	0.00039859	0.0014387	0.246451	105	4	-0.29282	0.9996	0.99962	1	17993	0	-0.29282
"106"	"PRAMEF8"	4	0.00040035	0.0014469	0.246451	106	3	-0.4257	0.75146	0.75103	1	12786	0	-0.4257
"107"	"HORMAD2"	4	0.00041138	0.0014875	0.25018	107	4	-0.691	0.99921	0.9992	1	17971	0	-0.691
"108"	"CNTNAP3"	4	0.00042005	0.0015176	0.25018	108	4	-0.33167	0.99958	0.9996	1	17992	0	-0.33167
"109"	"PQBP1"	4	0.00042256	0.0015242	0.25018	109	2	0.0021767	0.044796	0.098412	0.976373	1801	2	0.0021767
"110"	"ZFAND5"	4	0.00042756	0.0015385	0.250245	110	4	-0.25727	0.99957	0.99959	1	17991	0	-0.25727
"111"	"NR1D2"	4	0.00045191	0.0016323	0.261171	111	4	-0.30419	0.99955	0.99957	1	17990	0	-0.30419
"112"	"ZNF184"	4	0.00045578	0.0016449	0.261171	112	3	-0.39437	0.86208	0.86168	1	14944	0	-0.39437
"113"	"DSG3"	4	0.00046127	0.0016619	0.261171	113	4	-0.27216	0.99954	0.99956	1	17989	0	-0.27216
"114"	"NYAP1"	4	0.0004618	0.0016635	0.261171	114	4	-0.23814	0.99954	0.99956	1	17988	0	-0.23814
